Day0,X[0],V[0],sigma[0],h[0]
AAPL,80397238.21,4284441488,0.017852953,0.121408366
GE,-1145974.191,1223919561,0.010325069,-0.050184671
GOOG,62108834.11,2427639671,0.011657976,2.355957035
INTC,12809870.17,986289502.3,0.011830397,-0.004094962
JPM,21555986.02,692447607.9,0.011992237,-0.103563581
MSFT,-74317089.48,1272153985,0.00958504,-0.0339966
ORCL,61310324.43,620364304.1,0.011236461,-0.059199401
PFE,13699670.71,796034388.4,0.010305939,0.085700198
XOM,18381293.46,1712092675,0.01205657,-0.287586968
,,,,
Day1,X[1],V[1],sigma[1],h[1]
AAPL,-16521397.84,6441588877,0.026481727,-1.122460001
GE,-13453922.16,1518643238,0.014825473,-0.137535814
GOOG,-21432940.17,2984554677,0.015093238,-0.987163971
INTC,25444598.19,1496627327,0.017528485,0.006855521
JPM,-118268461.2,1452253183,0.020699292,-0.091593232
MSFT,19287511.18,1716379432,0.015700386,0.146325826
ORCL,74556381.21,627545798.4,0.018038469,0.105448903
PFE,53644995.95,1038444204,0.011746714,-0.045712413
XOM,25610850.18,2675154984,0.021398529,-1.140897409
,,,,
Day2,X[2],V[2],sigma[2],h[2]
AAPL,143414839.8,4863361472,0.018069067,0.955576963
GE,-26322871.97,1016718192,0.011056446,-0.011367477
GOOG,148625811.6,1393979859,0.010071358,2.769004296
INTC,31431940.2,1272398098,0.012824755,0.159151664
JPM,-44220.4545,768986873.6,0.016303726,0.225012588
MSFT,34103838.79,965351492.7,0.0105689,0.236136411
ORCL,36149682.84,454211566.1,0.014377278,0.087533853
PFE,-9952513.458,689671886.3,0.009420324,0.056444062
XOM,12335984.15,1532800441,0.012587163,0.564181922
