,20070620,20070621,20070622,20070625,20070626,20070627,20070628,20070629,20070702,20070703,20070705,20070706,20070709,20070710,20070711,20070712,20070713,20070716,20070717,20070718,20070719,20070720,20070723,20070724,20070725,20070726,20070727,20070730,20070731,20070801,20070802,20070803,20070806,20070807,20070808,20070809,20070810,20070813,20070814,20070815,20070816,20070817,20070820,20070821,20070822,20070823,20070824,20070827,20070828,20070829,20070830,20070831,20070904,20070905,20070906,20070907,20070910,20070911,20070912,20070913,20070914,20070917,20070918,20070919,20070920
AAPL,3738736949,3700246921,3319425567,3518706189,3886856344,3899034437,3811260035,3916282644,3909516029,4016590751,4284441488,4298391083,4484917306,4635440384,4462497711,4379313805,4451108489,4425395534,4372544056,4219205659,3902176888,4073978841,4133787405,4358006784,4520643178,5220558006,5395662378,5487171669,5956235067,6383384017,6441588877,6185027746,6085266729,5734001837,5574292459,5047158167,5048725547,4833634770,4342461728,3987845573,4315733813,4489070056,4410911194,4540708092,4631861077,4528769883,4366022190,4362468270,4560454945,4659756812,4607762757,4542908722,4863361472,5404121948,5808904312,6046905747,6297375062,6426883895,6401508942,6188429169,5808873467,5778670963,5634835933,5021333006,4479408137
AA,406057532.5,380218584.9,349823551,347591667,351405800.3,366401909.9,361093563.1,372491601.4,375624518.1,368833378.7,369662614.7,369508021.4,400208874.4,423367140.2,430536914.6,612289989.2,742619877.3,807767886.6,834232227.5,912534102.7,1089543014,1164134634,1215638722,1234503625,1259451091,1170354618,1095168851,1040582851,1042869224,1014956592,855274697.9,797703179.1,751961736,731133324.9,715617389.7,637112133.6,648030991.1,644517798.5,623002686.6,593219747.5,666184225.1,708794055.4,698595838.4,685427041.9,683121675,662545260.8,598302602.4,581386261.2,564907257.5,537182092.8,423758989.5,347891166.9,321437701.1,311722225.2,297375494.2,305392597.5,307407906.2,303805215,308343083,315884161.4,341164486.1,358758847.6,372829644.7,386001284.9,396792716.8
ABI,63931156.71,71281398.68,70165879.81,67748929.12,73268257.09,74202303.03,72459429.54,70710167.24,67801848.73,64153027.29,64613796.69,63018604.16,62218701.43,62161663.38,57506338.98,54669342.33,52350176.07,52061098.29,54806229.2,58519586.63,60176329.08,63305054.52,63045627.77,67356353.48,76233547.75,80511119.71,83666374.41,87936733.47,86739757.25,86400146.77,83383393.55,79048403.56,78354250.76,75432672.45,69963531.36,82951619.54,88273386.51,85188899.52,94856885.43,100337769.9,103597076.4,108158330,109015772.8,108914378.3,111367541.7,96932031.59,90915308.3,87481827.63,74045677.04,65509151.43,59562439.04,53401771.69,52144882.66,49368366.03,40626168.78,38191347.65,37839732.74,40886429.24,44776869.96,45960152.51,48612452.92,48898069.65,49239243.22,51002004.58,56456661.15
ABT,329768856.7,284820585.5,279600593.7,329764783.7,326029058.4,315376197.6,303326913,295304215.5,290488881.2,270900942.6,254425134.5,248348036.2,235868442.6,215649875.1,218838646.1,247399035,248413642.4,250538764.4,252743196.3,294198279.3,309242234.4,321425672.8,337753346.3,351323187.3,356337519,338797365.1,352289939.7,359924307.1,367279912.8,352854183.1,352820656.8,362473718.6,376124109.5,394517899.7,407355088.9,415069259.6,414676459.4,420184224.4,416638967.4,406194051.5,413048843.8,405540208.2,380317609.3,336773260.8,310229668.8,286356331.8,269401600.5,245844222.3,238019563.1,239977935.2,223953833,211616749.3,213914284.5,216400643.3,216098706.4,218076423.4,214721714.7,228996140,225545797.6,222135438.9,216348058.5,215261358.7,228018759.6,238353608.8,232428072.1
ACAS,171907329.8,144655249.2,124910993,118247967.6,112418895.2,109403044.3,103238407.3,99217971.57,93643575.8,101184383.3,98833979.19,129583866.1,145857449.4,156627704.7,158990896.3,158276575.5,158546738.5,157265825.3,157776150.1,150069280.1,143339690.8,110163601.6,94179833.69,88896707.36,95099939.48,106429487.6,113924152.3,121479031.9,130709325,149059448.2,156051703.8,163318217,169650026.6,170373263.7,166171396.2,159159774.5,159196896.7,154681117,151069671.1,134489977.3,135968030,132138995.9,122755836.4,112800647.7,105058067.7,96030097.75,85681778.6,81306698.76,76186287.84,70313486.64,60469514.87,54261720.64,56649828.36,58992520.42,58795073,72707747.25,74324657.12,74900002.65,74443353.61,74514498.6,72103599.57,69393981.86,71081069.01,72690123.58,73436119.45
ACE,126659684.2,120764655.1,172344599.2,169022257.5,167444079.8,163348044.8,161489062.3,155973452.7,149488663.6,139425368,137353942.5,136567707.9,116928952.1,112427469.6,106782232.4,106391041.6,97334720.84,91278845.41,92828680.54,97621221.41,94687428.05,94260540.59,92386345.09,93600909.55,105368284.4,112048359.2,119507802,128811880,129588608.1,132517411.4,138258253.9,142626581.5,149789612.2,154202722.7,149648829.9,144610518.1,151340966.6,148574874.7,146853926.9,144275473.7,148292350.5,149702349.1,145071227,135362517.9,131981976.6,126462654,115306735.2,108468681.3,105507112.5,106234955.1,98504832.73,90562979.96,88559718.22,88035051.85,79836362.05,77793620.76,78727651.64,80033717.23,79367673.12,75097418.6,71791572.98,70895919.84,76855875.39,81758002.6,85780286.65
ACS,27521436.3,25432809.89,41682275.93,45831596.77,42556965.49,40415672.34,36141895.01,35727627.65,33771793.34,31425415.19,30836915.98,30653207.48,24458952.91,22274871.32,20712964.23,22853223.98,24301583.44,23225563.24,22678592.89,26672253.36,28303362.88,32406120.21,33645044.74,34248505.32,36631232.99,38365483.92,40816989.25,44216347.87,48931185.79,50754996.47,49603403.44,48693636.96,50155453.94,51849343.3,54644376.56,56498631,60012841.73,59290427.8,60403460.82,59014689.7,63305296.86,65499509.11,64803832.14,66023782.29,69913430.17,67706714.21,63466317.01,62102206.36,59726055.31,57737792.3,53668358.92,49888280.91,49597818.82,44497800.79,36020192.84,31530517.51,29174257.21,28077650.48,25383184.6,25186703.96,23639481.88,21969334.05,22511552.81,25735319.21,28340936.45
ADBE,322151335.8,296224841.5,266935553.8,266791277,303904906.6,294998966.2,288379698.6,279107593.7,266819782.5,252400560.3,237150834.4,226332404,223017858.7,211245538,182488623.1,184400516.5,175505415.2,168111794.8,172789426.8,187747621.5,202158139.8,211172368.2,225864737.4,234113835.3,235044213.3,236568503.1,251731228.1,263751074.2,270811156.5,296539163.8,288222047.3,286442971.5,278520417,278206590.7,282511448.1,278334621.8,269682494.9,259457420,245970352,211521178.3,210598671.6,218891985.8,209533542.1,202178299.7,194725010.8,182802092.2,181812663.3,181431019.4,187755135.6,195802490.8,194731499.6,177498140.2,184534795.6,190093409.5,189568475.8,196741074,195363480.2,197866759.3,190265722.2,187226445.5,184431329.5,206451062.9,262225282.8,283986039.3,310161231.5
ADI,96608856.99,133182121.1,153798548.4,149549880.3,147096023.4,144931407.5,139028582.5,132409672.5,125592657.9,118724059.1,120794165.4,114900772.3,108244705.6,105379386.8,99725433.92,94850604.96,91206703.36,91041852.36,99822054.46,111160993.6,109022262.8,110244461.5,104490797.1,107757513,109916895.2,115327904.7,117450659.4,118441774.4,113855693.2,110263152.2,108696328.9,105520255.8,112852639.2,112960837,116383815.8,113282467.5,116063566.5,114973845.3,111960326.9,108272803.1,112909136.2,116324172.8,111702503.3,113788763.4,121384092,123012080,125289151.6,125302461.1,126332466.6,124928665.6,122069527.2,117009383.6,116996651.1,110222969.3,95982673.45,94528603.12,92432942.15,96598573.82,96214771.27,98498236.87,99305341.96,97840720.75,96953379.66,95179453.51,96826738.44
