,20070620,20070621,20070622,20070625,20070626,20070627,20070628,20070629,20070702,20070703,20070705,20070706,20070709,20070710,20070711,20070712,20070713,20070716,20070717,20070718,20070719,20070720,20070723,20070724,20070725,20070726,20070727,20070730,20070731,20070801,20070802,20070803,20070806,20070807,20070808,20070809,20070810,20070813,20070814,20070815,20070816,20070817,20070820,20070821,20070822,20070823,20070824,20070827,20070828,20070829,20070830,20070831,20070904,20070905,20070906,20070907,20070910,20070911,20070912,20070913,20070914,20070917,20070918,20070919,20070920
AAPL,30430427,29728724,20729634,33363592,44435645,32828860,27184553,37939473,31853669,39722360,48959661,28828604,33854816,42364399,27365410,23435301,29464204,31675504,23976447,25084837,23149414,38871338,35000029,56844811,38410214,69521591,39281938,37372192,58342094,58391831,28246455,21971571,30445591,32081687,27228411,37521413,46512991,24642400,24715798,34105837,61959884,38548509,26517734,44605959,34752038,29157429,31003438,23422578,39361677,39076431,48288569,29196618,44990570,78141604,63925750,47317039,48965788,32550213,35071930,22041656,20223516,26876288,35752614,34706504,22769482
AA,9918113,8824961,7194045,8615125,9435100,11495112,8362450,11208664,9752333,7438434,10094012,8458068,14148927,13568177,10378800,49894119,34697103,23294272,14285242,23539584,49043239,25478380,26502779,18335422,16813453,35489310,23161370,14724600,17730858,21879464,15666200,14177000,18396100,15226800,14355100,16128400,28784800,14647300,13382700,14847198,41951200,29065677,16239200,12103100,14158700,10495700,9579000,9538712,8554000,6577300,5043300,5199600,7877700,8880600,10015300,13057700,10849300,9309824,10422281,9044243,12386875,10331600,11824300,12126137,12735100
ABI,2188700,2658600,2294214,2029700,3132500,2603700,2043854,1909300,1466219,1029100,2222300,2026500,1917800,1914500,1551300,1606845,1229500,1752567,2260722,2142458,2606501,2864100,1743800,3139171,4243001,2902089,2218800,3166000,1914600,2113873,1736400,1606900,1577400,2279600,2542700,6701800,3677400,2000600,4725400,3677283,2770600,3018700,1874800,2282600,3434600,2465200,1976600,1030600,705300,1101800,896900,1095900,1453400,1410100,620200,1682500,1905400,1991100,1925000,1430300,1660300,1135200,1484100,1831500,2163500
ABT,6018859,4460828,5043789,8879407,5730400,4869924,4293384,4458000,4654022,1740500,3052674,3308669,2680500,5225710,6468100,10299112,4515577,4877663,5132965,9429124,5838332,5643011,5674312,7801910,7507752,7257940,7442600,6665900,6825400,7181354,6151000,7701900,8481900,10991000,9392600,8108600,6791600,7262500,5902200,4928725,7455612,6141200,3659700,3105800,4915500,4038600,3872200,2999926,4577400,5505200,4342000,3849700,4171200,3629200,4806400,4429392,3261400,5779100,3812200,4699300,3182200,3631600,6462173,5391700,3586800
ACAS,3865796,2680679,1956503,2283354,2091875,2250312,1543513,1668927,1145331,3770916,3271136,9150728,5323230,4516637,2516006,1918440,1503626,1274858,1192495,2069128,1815109,2119788,2020367,3635278,4314680,5177616,3761380,3442018,3716317,7433073,4008971,4313626,3874792,3891036,3097353,3094299,3530443,2177666,2739273,2843977,4564863,3187846,1454159,1503443,1364078,991031,1003002,1101504,1487017,1280872,1682968,1590238,1960599,2103074,1334628,4605446,1468743,1301708,1407647,1319675,1103822,977973,2485923,2447727,1478982
ACE,2024400,1848500,4446800,2546300,2578500,2311200,2432500,1872400,1534600,762200,1682200,1710900,1260200,1851400,1723200,2260005,967300,920600,1842500,1596700,1241900,1687078,993700,2145486,3688540,3473047,2321300,2552300,2051400,2188359,2296700,2606300,2347700,2887400,2986500,2727400,3612600,2134800,1870000,1830033,3152700,2809300,1475800,1246600,2432200,1711900,1527800,906600,1290100,1875000,1696200,1403700,1124900,1182500,1066800,1411200,1745900,1163400,1175000,1114000,1100700,1236000,2126100,1960400,1700300
ACS,467400,399994,1284200,1021600,519300,519059,182300,572800,316700,179500,377100,369200,211000,629800,240400,902700,441000,390100,223800,899600,672000,1106200,436944,769698,695600,1292118,931700,1036300,1107200,1298698,493600,1031300,776600,1155900,1290800,1780800,1789800,991700,1430700,1081300,1403275,1511400,645300,1409700,2103700,1321400,871900,713000,959700,707000,578800,751500,584700,411900,393200,401100,375700,490700,408300,657500,265700,421900,705800,1069500,914200
ADBE,7691854,6503917,5087691,6571438,11386383,6219616,6143489,5328595,4199120,3019543,4170777,3957378,4312258,3672000,4044994,6566015,3885525,3419444,5198560,6591382,7445200,6051370,7606425,5494258,4175188,6949778,7669202,6399454,7049548,13497227,5854729,5975477,6192076,5807743,5388298,5914861,5498178,3879423,3732290,4547832,5547391,7940694,3692214,3839540,3500402,3053772,5347209,3783906,5203779,6339793,4946852,3391008,5070746,4810457,3139195,4560663,4631348,4111092,3156198,5422605,4214045,8520431,17787053,9774663,9268873
ADI,2586100,4459100,5207700,3651200,3684582,3538800,2731718,2270442,1860496,1486400,3043600,2851612,3293293,2764293,2081300,2161039,1696400,2146000,4056534,4442900,2494816,3231354,1864600,3826585,2762855,3859018,2454900,2627900,3163700,3750543,2209400,2533400,4018600,3887800,3592500,2844300,3060200,2201000,2197700,2606564,3425400,3321800,2567800,4321900,5735300,3436500,3839700,2289700,2585800,2302500,2665400,2026900,2601600,2553600,1863000,3009300,3210200,3392200,2449000,2953700,3008900,1708700,2474500,2128680,2358600
